"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify retrieval of a cart by ID","530","getCartById","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Cart","Complete API Test Flow","tests.Cart","getCartById"
"Check if client can register with invalid data types","869","registerClientBadRequest","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Register","Complete API Test Flow","tests.Register","registerClientBadRequest"
"Verify retrieving a non-existing cart ","525","getCartbynonexistentId","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Cart","Complete API Test Flow","tests.Cart","getCartbynonexistentId"
"Verify modifying the quantity of an item in the cart","540","modifyItemQuantity","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Cart","Complete API Test Flow","tests.Cart","modifyItemQuantity"
"Verify updating an order without authorization ","267","updateOrderWithoutAuth","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Orders","Complete API Test Flow","tests.Orders","updateOrderWithoutAuth"
"Verify retrieval of product by ID","603","getProductById","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Products","Complete API Test Flow","tests.Products","getProductById"
"Verify retrieval of a single order without authorization","518","getSingleOrderwithoutAuth","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Orders","Complete API Test Flow","tests.Orders","getSingleOrderwithoutAuth"
"Verify retrieval of unavailable products","531","getUnavailableProducts","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Products","Complete API Test Flow","tests.Products","getUnavailableProducts"
"Verify that the status is UP ","3578","checkingStatus","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Status","Complete API Test Flow","tests.Status","checkingStatus"
"Verify creation of a new order","334","createNewOrder","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Orders","Complete API Test Flow","tests.Orders","createNewOrder"
"Verify adding an item again to the cart after deleting","572","addItemAgain","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Cart","Complete API Test Flow","tests.Cart","addItemAgain"
"Verify deletion of an item from the cart","537","deleteItem","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Cart","Complete API Test Flow","tests.Cart","deleteItem"
"Verify retrieval of a single order by ID","541","getSingleOrder","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Orders","Complete API Test Flow","tests.Orders","getSingleOrder"
"Verify creating an order with an invalid cartId","530","createOrderWithinvalidCartId","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Orders","Complete API Test Flow","tests.Orders","createOrderWithinvalidCartId"
"Check if client can register with missing email ","534","registerClientMissingEmail","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Register","Complete API Test Flow","tests.Register","registerClientMissingEmail"
"Verify the cart is empty after item deletion","528","getItemAfterDeletion","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Cart","Complete API Test Flow","tests.Cart","getItemAfterDeletion"
"Verify replacing an item in the cart with a new product with invalid productId","286","replaceItemInCartwithinvalidproductId","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Cart","Complete API Test Flow","tests.Cart","replaceItemInCartwithinvalidproductId"
"Verify adding an item to the cart","572","addItem","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Cart","Complete API Test Flow","tests.Cart","addItem"
"Check getting Products With Invalid QueryParam","541","getProductsWithInvalidQueryParams","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Products","Complete API Test Flow","tests.Products","getProductsWithInvalidQueryParams"
"Verify retrieving orders without authentication ","522","getOrdersWithoutAuth","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Orders","Complete API Test Flow","tests.Orders","getOrdersWithoutAuth"
"Verify adding an item with invalid product ID ","278","addItemWithInvalidProductId","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Cart","Complete API Test Flow","tests.Cart","addItemWithInvalidProductId"
"Check if client can register with missing name ","536","registerClientMissingName","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Register","Complete API Test Flow","tests.Register","registerClientMissingName"
"Verify that a client can successfully register with valid name and email","338","registerClientSuccess","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Register","Complete API Test Flow","tests.Register","registerClientSuccess"
"Check if client can register with duplicated email ","309","registerClientDuplicateEmail","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Register","Complete API Test Flow","tests.Register","registerClientDuplicateEmail"
"Verify retrieval of available products","577","getAvailableProducts","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Products","Complete API Test Flow","tests.Products","getAvailableProducts"
"Verify deleting a non-existing item ","277","deleteNonExistingItem","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Cart","Complete API Test Flow","tests.Cart","deleteNonExistingItem"
"Verify creation of new cart","549","createNewCart","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Cart","Complete API Test Flow","tests.Cart","createNewCart"
"Verify getting product by invalid ID","522","getProductbyInvalidId","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Products","Complete API Test Flow","tests.Products","getProductbyInvalidId"
"Verify creating an order without authentication","277","createOrderWithoutAuth","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Orders","Complete API Test Flow","tests.Orders","createOrderWithoutAuth"
"Verify deleting a non-existent order ","275","deleteNonExistentOrder","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Orders","Complete API Test Flow","tests.Orders","deleteNonExistentOrder"
"Verify data after deleting order","293","getOrderafterDeletion","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Orders","Complete API Test Flow","tests.Orders","getOrderafterDeletion"
"Verify retrieval of all orders","290","getAllOrders","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Orders","Complete API Test Flow","tests.Orders","getAllOrders"
"Verify updating order","535","updateOrder","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Orders","Complete API Test Flow","tests.Orders","updateOrder"
"Verify modifying item with invalid quantity ","279","modifyItemWithInvalidQuantity","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Cart","Complete API Test Flow","tests.Cart","modifyItemWithInvalidQuantity"
"Verify that retrieving a non-existent order ","581","getNonExistentOrder","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Orders","Complete API Test Flow","tests.Orders","getNonExistentOrder"
"Verify replacing an item in the cart with a new product","566","replaceItemInCart","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Cart","Complete API Test Flow","tests.Cart","replaceItemInCart"
"Verify deleting of an order","535","deleteOrder","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Orders","Complete API Test Flow","tests.Orders","deleteOrder"
"Verify replacing an item in the cart with a new product with missing cartId","270","replaceItemInCartwithmissingCartId","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Cart","Complete API Test Flow","tests.Cart","replaceItemInCartwithmissingCartId"
"Verify modifying the quantity with missing cartId","541","modifyItemwithmissingcartid","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Cart","Complete API Test Flow","tests.Cart","modifyItemwithmissingcartid"
"Verify retrieval of all products","282","getAllProducts","Grocery Store API Test Suite","2025-11-23","passed","2025-11-23","tests.Products","Complete API Test Flow","tests.Products","getAllProducts"
